exp1_alpha,exp2_alpha,exp1_lambda,exp2_lambda
0.0,0.14900089747743844,0.0,0.14596379055503114
0.1355751052066419,0.11161257682145166,0.208791253603702,0.0052629259643819475
0.0,0.010384771458425307,0.0,0.001288646011185446
0.10635300147668394,0.2403861239929288,0.11107435713080085,0.021241560794378965
0.022491004516579566,0.11452807374163738,0.05870935192440913,0.005008864349326484
0.0,0.3061372609152531,0.0,0.16786835414481777
0.05401564242691064,0.25285179926015955,0.12104644205345612,0.0004049076263959233
0.0,0.12412148140982524,0.0,0.0049333436187367005
0.20158403486050025,0.11471973015591325,0.048103488200219216,0.10367843984237775
0.09505167097902674,0.21168358853070912,0.20472865788975037,0.16613638103902775
0.17044667427984744,0.05971043894300581,0.0028068298702889033,0.18584914319790152
0.09794801549793727,0.12056746998161555,0.01890591999727017,0.07777851191267861
0.06490381998859336,0.0722068818744597,0.10182868081186686,0.0019237361052859856
0.10007056453372717,0.00863824579567131,0.09123458824679996,0.012132070433867645
0.13668553307209969,0.036377498148596824,0.11380794763603035,0.022345564139680862
0.04803290453026458,0.2916747006623651,0.0013527147623981699,0.02614189629559012
0.12990772698936925,0.3835490814446585,0.10140073839222252,0.21527958792964608
0.19332116583123715,0.31867996688597033,0.1714083126476429,0.03499001551210221
0.15548443483234106,0.19812879783724013,0.0020500891640082004,0.08600747182164238
0.0,0.22637265995403844,0.0,0.14212621041799176
0.20756121758495766,0.07666462377862035,0.10568696724001421,0.04452272643685958
0.14732435173246633,0.262621555123268,0.24008873219145618,0.05609304313574124
0.0,0.2453850693538947,0.0,0.2625961581472747
0.04936212249019202,0.1993075775976959,0.377180579949897,0.06618980334594265
0.0,0.1931531114293128,0.0,0.16103276314891582
0.15486325885990887,0.37552763050344184,0.11401585649701962,0.1981921464661089
0.0,0.009002511260001244,0.0,0.0008880826648038213
0.11296449616551299,0.18343173548614422,0.11655493346991183,0.05246644990010835
0.052127524079988434,0.03916456265541979,0.17200926835304053,0.04623608470962245
0.0,0.08257133466533478,0.0,0.020578421301287696
0.0,0.2382004769705429,0.0,0.1316341022818013
0.0,0.2899576495039552,0.0,0.07136335900903161
0.0,0.20730190086616673,0.0,0.1162761322022726
0.0,0.09549998898355339,0.0,0.03149741568024628
0.0857167964142089,0.1369933914103567,0.09663467407245553,0.07503364505199873
0.0165385490561736,0.205793197862176,0.001858683687339446,0.08929574790775796
0.0036106696465402176,0.03356446281816111,0.14766528342352464,0.013459551301866561
0.22258924742913427,0.21532569137962282,0.07564874804100694,0.0021075593335762345
0.0,0.28074271281474433,0.0,0.23237232614304976
0.14030711623103376,0.04497885981006773,0.16027641502137785,0.0064123802979588005
