Participant_Num,Group,Proportion,Group_Name
1,Physical Generalizers,1.0,Physical Generalizers
2,Overgeneralizers,0.493675,Unknown
2,Physical Generalizers,0.506325,Unknown
3,Overgeneralizers,1.0,Overgeneralizers
4,Physical Generalizers,1.0,Physical Generalizers
5,Overgeneralizers,0.76185,Overgeneralizers
5,Physical Generalizers,0.23815,Overgeneralizers
6,Physical Generalizers,0.969025,Physical Generalizers
6,Perceptual Generalizers,0.030975,Physical Generalizers
7,Non-Learners,0.04705,Overgeneralizers
7,Overgeneralizers,0.944575,Overgeneralizers
7,Physical Generalizers,0.0059,Overgeneralizers
7,Perceptual Generalizers,0.002475,Overgeneralizers
8,Overgeneralizers,0.752325,Overgeneralizers
8,Physical Generalizers,0.247675,Overgeneralizers
9,Physical Generalizers,1.0,Physical Generalizers
10,Perceptual Generalizers,1.0,Perceptual Generalizers
11,Physical Generalizers,1.0,Physical Generalizers
12,Physical Generalizers,1.0,Physical Generalizers
13,Overgeneralizers,0.99995,Overgeneralizers
13,Physical Generalizers,5e-05,Overgeneralizers
14,Physical Generalizers,0.411075,Unknown
14,Perceptual Generalizers,0.588925,Unknown
15,Non-Learners,0.207525,Unknown
15,Overgeneralizers,0.19975,Unknown
15,Physical Generalizers,0.42595,Unknown
15,Perceptual Generalizers,0.166775,Unknown
16,Overgeneralizers,0.09055,Unknown
16,Physical Generalizers,0.23925,Unknown
16,Perceptual Generalizers,0.6702,Unknown
17,Physical Generalizers,0.25,Unknown
17,Perceptual Generalizers,0.75,Unknown
18,Physical Generalizers,0.93515,Physical Generalizers
18,Perceptual Generalizers,0.06485,Physical Generalizers
19,Physical Generalizers,1.0,Physical Generalizers
20,Perceptual Generalizers,1.0,Perceptual Generalizers
21,Perceptual Generalizers,1.0,Perceptual Generalizers
22,Physical Generalizers,1.0,Physical Generalizers
23,Perceptual Generalizers,1.0,Perceptual Generalizers
24,Physical Generalizers,1.0,Physical Generalizers
25,Physical Generalizers,1.0,Physical Generalizers
26,Physical Generalizers,0.0018,Perceptual Generalizers
26,Perceptual Generalizers,0.9982,Perceptual Generalizers
27,Non-Learners,0.3603,Unknown
27,Overgeneralizers,0.370975,Unknown
27,Physical Generalizers,0.096725,Unknown
27,Perceptual Generalizers,0.172,Unknown
28,Physical Generalizers,1.0,Physical Generalizers
29,Physical Generalizers,1.0,Physical Generalizers
30,Perceptual Generalizers,1.0,Perceptual Generalizers
31,Physical Generalizers,1.0,Physical Generalizers
32,Physical Generalizers,0.000325,Perceptual Generalizers
32,Perceptual Generalizers,0.999675,Perceptual Generalizers
33,Physical Generalizers,1.0,Physical Generalizers
34,Physical Generalizers,1.0,Physical Generalizers
35,Physical Generalizers,1.0,Physical Generalizers
36,Physical Generalizers,1.0,Physical Generalizers
37,Overgeneralizers,0.001725,Perceptual Generalizers
37,Physical Generalizers,0.010325,Perceptual Generalizers
37,Perceptual Generalizers,0.98795,Perceptual Generalizers
38,Non-Learners,0.005175,Overgeneralizers
38,Overgeneralizers,0.926775,Overgeneralizers
38,Physical Generalizers,0.0518,Overgeneralizers
38,Perceptual Generalizers,0.01625,Overgeneralizers
39,Perceptual Generalizers,1.0,Perceptual Generalizers
40,Overgeneralizers,0.458825,Unknown
40,Physical Generalizers,0.011325,Unknown
40,Perceptual Generalizers,0.52985,Unknown
